alias,market,season,opp_alias,opp_market,win,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,gopp_wins,gopp_losses,gopp_win_pct,gopp_off_ptsperposs,gopp_def_ptsperposs,gopp_net_ptsperposs,gopp_possperg,gopp_adj_off_ptsperposs,gopp_adj_def_ptsperposs,gopp_adj_net_ptsperposs,gopp_adj_possperg,gopp_off_sd,gopp_def_sd,gopp_opp_adj_net_ptsperposs,gopp_seed
UK,Kentucky,2017,KSU,Kansas State,False,24,10,0.705882353,1.104478876,1.012025745,0.09245313,69.47647059,1.139992053,0.991680088,0.148311965,69.53966756,0.153504486,0.08843552,0.11287159199999999,5.0,22,11,0.666666667,1.0910087720000001,1.02283105,0.068177722,66.32727273,1.10515982,1.00290289,0.102256931,64.52774563,0.18530599899999997,0.13915877699999998,0.060835015,9.0
UMBC,UMBC,2017,KSU,Kansas State,False,24,10,0.705882353,1.062759029,1.004764336,0.057994693,69.54705882,1.068361288,0.998460344,0.069900944,69.43651481,0.165310102,0.12735534099999998,-0.052596562,16.0,22,11,0.666666667,1.0910087720000001,1.02283105,0.068177722,66.32727273,1.10515982,1.00290289,0.102256931,64.52774563,0.18530599899999997,0.13915877699999998,0.060835015,9.0
WRST,Wright State,2017,TENN,Tennessee,False,25,9,0.735294118,1.030412501,0.93598123,0.094431271,70.01764706,1.028857038,0.8948590270000001,0.133998011,69.51936574,0.144088349,0.116678171,-0.017164666999999998,14.0,25,8,0.757575758,1.101070048,0.983834755,0.11723529199999999,67.4,1.138741233,0.9431469309999999,0.195594302,66.3872525,0.157314579,0.14453315,0.08831251,3.0
WVU,West Virginia,2017,VILL,Villanova,False,24,10,0.705882353,1.125290988,0.99322608,0.132064908,70.75294118,1.167183555,0.973673806,0.193509748,71.46190626,0.128280972,0.18696686399999998,0.070590418,5.0,30,4,0.882352941,1.237665161,0.9880288620000001,0.24963629899999998,70.34117647,1.349360149,0.9460842279999999,0.40327592100000004,69.9468902,0.147316656,0.126021797,0.07560431299999999,1.0
KU,Kansas,2017,CLEM,Clemson,True,27,7,0.794117647,1.166442162,1.007350484,0.15909167800000001,69.87058824,1.225408861,0.985519803,0.23988905800000002,69.70601055,0.15086714,0.138048961,0.098050537,1.0,23,9,0.71875,1.08484456,0.972209399,0.112635161,67.55,1.104073438,0.932005029,0.17206841,66.52561376,0.14543646,0.10153205400000001,0.088631664,5.0
NMSU,New Mexico State,2017,CLEM,Clemson,False,28,5,0.848484848,1.089453533,0.913511636,0.17594189699999999,69.64848485,1.1068297059999999,0.87264649,0.23418321600000003,68.91513447,0.12472672800000001,0.126580732,-0.034305232000000005,12.0,23,9,0.71875,1.08484456,0.972209399,0.112635161,67.55,1.104073438,0.932005029,0.17206841,66.52561376,0.14543646,0.10153205400000001,0.088631664,5.0
KU,Kansas,2017,DUKE,Duke,True,27,7,0.794117647,1.166442162,1.007350484,0.15909167800000001,69.87058824,1.225408861,0.985519803,0.23988905800000002,69.70601055,0.15086714,0.138048961,0.098050537,1.0,26,7,0.787878788,1.1943423640000002,0.966019009,0.228323355,70.91515152,1.280266694,0.915047614,0.36521908,71.73523768,0.14728529,0.116386129,0.097937038,2.0
URI,Rhode Island,2017,DUKE,Duke,False,25,7,0.78125,1.100279809,0.989977221,0.11030258800000001,69.24375,1.127360262,0.9616107209999999,0.165749541,69.48240943,0.164511866,0.127470236,0.048236891,7.0,26,7,0.787878788,1.1943423640000002,0.966019009,0.228323355,70.91515152,1.280266694,0.915047614,0.36521908,71.73523768,0.14728529,0.116386129,0.097937038,2.0
SYR,Syracuse,2017,DUKE,Duke,False,20,13,0.606060606,1.038773418,0.98229109,0.056482328,65.02424242,1.0304778559999999,0.94727176,0.083206096,62.89160455,0.145312623,0.133726467,0.091566965,11.0,26,7,0.787878788,1.1943423640000002,0.966019009,0.228323355,70.91515152,1.280266694,0.915047614,0.36521908,71.73523768,0.14728529,0.116386129,0.097937038,2.0
IONA,Iona,2017,DUKE,Duke,False,20,13,0.606060606,1.098924014,1.058729356,0.040194657,72.66060606,1.140598671,1.0573477820000001,0.083250888,73.8874722,0.142219122,0.101939807,0.009960099,15.0,26,7,0.787878788,1.1943423640000002,0.966019009,0.228323355,70.91515152,1.280266694,0.915047614,0.36521908,71.73523768,0.14728529,0.116386129,0.097937038,2.0
