alias,market,season,opp_alias,opp_market,win
DAY,Dayton,2013,SYR,Syracuse,TRUE
STAN,Stanford,2013,UNM,New Mexico,TRUE
OSU,Ohio State,2013,DAY,Dayton,FALSE
UNC,North Carolina,2013,PROV,Providence,TRUE
CONN,Connecticut,2013,UK,Kentucky,TRUE
TENN,Tennessee,2013,MASS,Massachusetts,TRUE
FLA,Florida,2013,UCLA,UCLA,TRUE
MICH,Michigan,2013,TEX,Texas,TRUE
WIS,Wisconsin,2013,ORE,Oregon,TRUE
MICH,Michigan,2013,TENN,Tennessee,TRUE
CP,Cal Poly,2013,WICH,Wichita State,FALSE
MSU,Michigan State,2013,DEL,Delaware,TRUE
TENN,Tennessee,2013,MICH,Michigan,FALSE
NDSU,North Dakota State,2013,OKLA,Oklahoma,TRUE
UCLA,UCLA,2013,SFA,Stephen F. Austin,TRUE
UCLA,UCLA,2013,TLSA,Tulsa,TRUE
SDSU,San Diego State,2013,ARIZ,Arizona,FALSE
TENN,Tennessee,2013,MER,Mercer,TRUE
MSU,Michigan State,2013,HARV,Harvard,TRUE
KU,Kansas,2013,EKY,Eastern Kentucky,TRUE
WICH,Wichita State,2013,UK,Kentucky,FALSE
UK,Kentucky,2013,KSU,Kansas State,TRUE
DAY,Dayton,2013,STAN,Stanford,TRUE
GW,George Washington,2013,MEM,Memphis,FALSE
